FIPS,State,County,acres_2006,acres_2012,change_acres,pct_change
01003,ALABAMA,BALDWIN,2100.0,3100.0,1000.0,47.61904761904761
01015,ALABAMA,CALHOUN,1000.0,1600.0,600.0,60.0
01019,ALABAMA,CHEROKEE,1800.0,4800.0,3000.0,166.66666666666669
01031,ALABAMA,COFFEE,6500.0,3400.0,-3100.0,-47.69230769230769
01033,ALABAMA,COLBERT,11500.0,24500.0,13000.0,113.04347826086956
01035,ALABAMA,CONECUH,1800.0,800.0,-1000.0,-55.55555555555556
01043,ALABAMA,CULLMAN,3300.0,3500.0,200.0,6.0606060606060606
01045,ALABAMA,DALE,4000.0,2200.0,-1800.0,-45.0
01047,ALABAMA,DALLAS,3600.0,5000.0,1400.0,38.88888888888889
01049,ALABAMA,DE KALB,10600.0,12700.0,2100.0,19.81132075471698
01051,ALABAMA,ELMORE,2400.0,3000.0,600.0,25.0
01053,ALABAMA,ESCAMBIA,1800.0,2300.0,500.0,27.77777777777778
01055,ALABAMA,ETOWAH,2000.0,2900.0,900.0,45.0
01057,ALABAMA,FAYETTE,2000.0,1800.0,-200.0,-10.0
01067,ALABAMA,HENRY,3500.0,2400.0,-1100.0,-31.428571428571427
01069,ALABAMA,HOUSTON,4800.0,2100.0,-2700.0,-56.25
01071,ALABAMA,JACKSON,19000.0,28700.0,9700.0,51.05263157894737
01077,ALABAMA,LAUDERDALE,8900.0,26600.0,17700.0,198.87640449438203
01079,ALABAMA,LAWRENCE,15000.0,33300.0,18300.0,122.0
01083,ALABAMA,LIMESTONE,7500.0,31900.0,24400.0,325.3333333333333
01089,ALABAMA,MADISON,8900.0,34900.0,26000.0,292.13483146067415
01095,ALABAMA,MARSHALL,3500.0,4500.0,1000.0,28.57142857142857
01103,ALABAMA,MORGAN,6000.0,7600.0,1600.0,26.666666666666668
01109,ALABAMA,PIKE,4300.0,2400.0,-1900.0,-44.18604651162791
01121,ALABAMA,TALLADEGA,6800.0,8500.0,1700.0,25.0
01125,ALABAMA,TUSCALOOSA,3200.0,2700.0,-500.0,-15.625
05003,ARKANSAS,ASHLEY,3100.0,30200.0,27100.0,874.1935483870968
05017,ARKANSAS,CHICOT,14300.0,50600.0,36300.0,253.84615384615384
05021,ARKANSAS,CLAY,22000.0,32600.0,10600.0,48.18181818181818
05029,ARKANSAS,CONWAY,3400.0,3600.0,200.0,5.88235294117647
05031,ARKANSAS,CRAIGHEAD,5800.0,31600.0,25800.0,444.8275862068965
05041,ARKANSAS,DESHA,3400.0,51900.0,48500.0,1426.4705882352941
05045,ARKANSAS,FAULKNER,1600.0,1400.0,-200.0,-12.5
05055,ARKANSAS,GREENE,5200.0,22800.0,17600.0,338.46153846153845
05063,ARKANSAS,INDEPENDENCE,6200.0,8300.0,2100.0,33.87096774193548
05067,ARKANSAS,JACKSON,11000.0,12700.0,1700.0,15.454545454545453
05069,ARKANSAS,JEFFERSON,8500.0,52600.0,44100.0,518.8235294117648
05077,ARKANSAS,LEE,2800.0,28300.0,25500.0,910.7142857142858
05085,ARKANSAS,LONOKE,4700.0,32500.0,27800.0,591.4893617021277
05093,ARKANSAS,MISSISSIPPI,4300.0,24800.0,20500.0,476.7441860465116
05095,ARKANSAS,MONROE,8400.0,35400.0,27000.0,321.42857142857144
05107,ARKANSAS,PHILLIPS,5700.0,39500.0,33800.0,592.9824561403509
05117,ARKANSAS,PRAIRIE,3600.0,14600.0,11000.0,305.55555555555554
05121,ARKANSAS,RANDOLPH,3800.0,8000.0,4200.0,110.5263157894737
05145,ARKANSAS,WHITE,2000.0,6800.0,4800.0,240.0
05147,ARKANSAS,WOODRUFF,10500.0,20700.0,10200.0,97.14285714285714
06007,CALIFORNIA,BUTTE,600.0,1200.0,600.0,100.0
06011,CALIFORNIA,COLUSA,1300.0,6800.0,5500.0,423.0769230769231
06021,CALIFORNIA,GLENN,12500.0,18500.0,6000.0,48.0
06029,CALIFORNIA,KERN,34000.0,35500.0,1500.0,4.411764705882353
06031,CALIFORNIA,KINGS,62000.0,64000.0,2000.0,3.225806451612903
06047,CALIFORNIA,MERCED,71000.0,85000.0,14000.0,19.718309859154928
06067,CALIFORNIA,SACRAMENTO,28000.0,36200.0,8200.0,29.28571428571429
06077,CALIFORNIA,SAN JOAQUIN,65000.0,97000.0,32000.0,49.23076923076923
06095,CALIFORNIA,SOLANO,3600.0,12500.0,8900.0,247.22222222222223
06099,CALIFORNIA,STANISLAUS,51000.0,47500.0,-3500.0,-6.862745098039216
06101,CALIFORNIA,SUTTER,2000.0,12200.0,10200.0,509.99999999999994
06107,CALIFORNIA,TULARE,122000.0,135000.0,13000.0,10.655737704918032
06113,CALIFORNIA,YOLO,3000.0,21500.0,18500.0,616.6666666666667
08001,COLORADO,ADAMS,6700.0,30100.0,23400.0,349.25373134328356
